code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
600649,城投控股,-0.1164,-0.0177,-0.6305,-0.0414,-6.3202
603703,盛洋科技,-0.1164,-0.0479,,-0.0989,-9.9236
002639,雪人股份,-0.1165,-0.027000000000000003,-9.6948,-0.0668,-7.4529
600259,广晟有色,-0.1166,-0.0448,,-0.0855,-10.4283
000555,神州信息,-0.1168,-0.0726,-2.4498,-0.1547,-15.7778
300427,红相股份,-0.1172,-0.0314,-0.5375,-0.0925,-11.4318
600538,国发股份,-0.11800000000000001,-0.0245,,-0.1772,-17.7222
603716,塞力斯,-0.1182,-0.0453,-1.1997,-0.1422,-14.7048
300600,瑞特股份,-0.1186,-0.033,-0.4649,-0.2477,-25.07
300325,德威新材,-0.1187,-0.0481,-4.4972,-0.079,-9.2195
603698,航天工程,-0.1191,-0.0267,-0.5543,-0.0921,-9.9189
600312,平高电气,-0.1195,-0.0292,,-0.0521,-5.3164
600983,惠而浦,-0.1195,-0.0691,-1.5646,-0.1449,-14.8371
300135,宝利国际,-0.1202,-0.0537,-4.5532,-0.0859,-9.3867
600257,大湖股份,-0.1204,-0.0477,-3.3142,-0.1934,-21.0431
000777,中核科技,-0.1209,-0.0456,-1.8701,-0.1132,-12.5842
300078,思创医惠,-0.1217,-0.0333,-1.0194,-0.1064,-14.163
600372,中航电子,-0.1223,-0.0254,-2.1748,-0.0389,-5.4491
300713,英可瑞,-0.1224,-0.0268,-0.5978,-0.1391,-13.9805
300591,万里马,-0.1226,-0.0562,-3.9198,-0.1095,-11.2624
000670,盈方微,-0.1235,-0.0316,,-0.1513,-15.1348
603017,中衡设计,-0.1235,-0.0478,-1.0796,-0.1368,-13.7854
300534,陇神戎发,-0.1236,-0.0244,-1.7823,-0.3193,-43.9516
600749,*ST藏旅,-0.1237,-0.0121,-0.8414,-0.0403,-4.2424
603879,永悦科技,-0.124,-0.0924,-1.6256,-0.8461,-84.7357
603680,今创集团,-0.1244,-0.0371,-0.8159,-0.0735,-9.7006
002875,安奈儿,-0.1248,-0.0858,-1.7309999999999999,-0.3086,-30.8957
002669,康达新材,-0.1259,-0.0388,-1.466,-0.2408,-24.9154
300420,五洋停车,-0.1265,-0.0381,-0.9491,-0.1285,-13.0151
600055,万东医疗,-0.1273,-0.0339,-0.9325,-0.2193,-24.9329
300608,思特奇,-0.1277,-0.047,-15.8379,-0.1187,-11.9116
300085,银之杰,-0.1281,-0.0532,-28.6759,-0.1241,-15.6141
000851,高鸿股份,-0.1281,-0.1109,-24.9495,-0.1908,-21.9255
600876,洛阳玻璃,-0.1281,-0.032,-15.4796,-0.0479,-5.7902
000925,众合科技,-0.1285,-0.0245,-2.8634,-0.040999999999999995,-4.8074
600498,烽火通信,-0.1285,-0.0745,-3.2848,-0.1197,-12.7823
002338,奥普光电,-0.1289,-0.0331,-0.9874,-0.3159,-49.1559
600630,龙头股份,-0.1291,-0.1154,-6.9188,-0.2687,-26.9921
002058,威尔泰,-0.1298,-0.0461,-8.519,-0.3045,-34.1934
600590,泰豪科技,-0.1299,-0.0389,-2.6691,-0.0626,-8.7649
603045,福达合金,-0.13,-0.0982,-3.3149,-0.2434,-27.3124
300045,华力创通,-0.13,-0.0244,-1.0777,-0.1422,-16.5399
300413,芒果超媒,-0.1306,-0.0789,-1.0675,-0.1499,-15.5785
002483,润邦股份,-0.1311,-0.0444,-2.6324,-0.1347,-19.2709
600444,国机通用,-0.1311,-0.0597,-1.4604,-0.1765,-18.0819
002230,科大讯飞,-0.1313,-0.0497,-2.875,-0.1136,-13.7469
000926,福星股份,-0.1316,-0.0188,-1.3098,-0.0245,-4.9989
603196,日播时尚,-0.1317,-0.0854,-6.6544,-0.355,-39.5375
600415,小商品城,-0.1319,-0.0135,-0.2557,-0.0258,-2.9961
000762,西藏矿业,-0.1322,-0.0163,,-0.1236,-14.2669
300422,博世科,-0.1323,-0.0428,-1.4494,-0.059000000000000004,-10.177999999999999
600602,云赛智联,-0.1327,-0.0756,-2.1327,-0.2944,-30.8433
600520,文一科技,-0.1328,-0.0311,,-0.0634,-6.5452
600853,龙建股份,-0.133,-0.0565,-10.6792,-0.0635,-8.1801
603733,仙鹤股份,-0.1332,-0.0678,-1.5511,-0.1532,-17.1247
002768,国恩股份,-0.1334,-0.0907,-1.5241,-0.2144,-22.0958
300177,中海达,-0.1337,-0.0424,-1.1808,-0.1892,-22.1196
600766,园城黄金,-0.1339,-0.0058,-1.4769999999999999,-0.0087,-0.8745
300726,宏达电子,-0.1346,-0.0386,-0.3546,-0.8113,-103.7644
002443,金洲管道,-0.1347,-0.1187,-3.7282,-0.3051,-34.1816
603813,原尚股份,-0.1349,-0.1108,-2.0031,-0.6197,-67.6355
600166,福田汽车,-0.1356,-0.0731,,-0.1037,-13.0393
002175,东方网络,-0.1356,-0.0117,,-0.0238,-3.0681
300430,诚益通,-0.1356,-0.0304,-1.0149,-0.1363,-13.9968
300148,天舟文化,-0.1359,-0.0186,-0.5247,-0.1564,-16.8536
300339,润和软件,-0.1362,-0.0329,-1.1862,-0.124,-13.3263
603887,城地股份,-0.1362,-0.0841,-1.9623,-0.1681,-17.1314
300509,新美星,-0.1371,-0.0405,-1.4047,-0.0779,-8.0255
002485,希努尔,-0.1374,-0.0376,-1.6069,-0.0951,-11.6428
002480,新筑股份,-0.1375,-0.0278,-9.0845,-0.0448,-6.8726
603903,中持股份,-0.1383,-0.0413,-1.4446,-0.0641,-9.3379
300500,启迪设计,-0.1383,-0.0408,-1.2032,-0.1053,-14.4895
000889,茂业通信,-0.1402,-0.0617,-1.9206,-0.205,-20.6127
002343,慈文传媒,-0.1407,-0.0412,-0.7393,-0.1128,-13.0893
002883,中设股份,-0.1408,-0.0584,-0.6818,-0.5159,-51.6202
603322,超讯通信,-0.1411,-0.0646,-3.9211,-0.0966,-11.1726
300560,中富通,-0.1416,-0.0754,-1.4015,-0.3638,-36.3767
000835,长城动漫,-0.1417,-0.0077,,-0.0113,-1.9604
002627,宜昌交运,-0.1417,-0.0614,-2.6224,-0.1435,-18.8416
300147,香雪制药,-0.1418,-0.0296,-2.2139,-0.0546,-9.9594
600678,四川金顶,-0.1419,-0.0912,-1.5675,-0.1043,-83.4149
603011,合锻智能,-0.1423,-0.0355,-2.1336,-0.1496,-17.6795
000768,中航飞机,-0.1429,-0.0601,-17.3285,-0.094,-9.6101
300095,华伍股份,-0.1432,-0.0356,-1.8367,-0.0782,-10.1969
300656,民德电子,-0.1437,-0.0461,-0.672,-0.1819,-28.5034
300163,先锋新材,-0.1438,-0.0683,,-0.1664,-38.9986
002401,中远海科,-0.1443,-0.0563,-1.3769,-0.1066,-10.800999999999998
300205,天喻信息,-0.1453,-0.1049,-2.9829,-0.2403,-24.6183
300369,绿盟科技,-0.1454,-0.0273,,-0.1467,-15.2356
600850,华东电脑,-0.1456,-0.136,-2.8489,-0.2502,-25.026
000002,万科A,-0.1462,-0.018000000000000002,-1.1804,-0.0212,-2.4643
603660,苏州科达,-0.1464,-0.1027,-1.6135,-0.3569,-36.2244
600400,红豆股份,-0.1465,-0.0466,-1.4201,-0.1977,-19.7752
