code,xcode,name,ipo_date,issue_date,amount,markets,price,pe,limit,funds,ballot
603917,732917,合力科技,2017-11-22,2017-12-04,2800,2520,14.22,22.99,1.1,3.9819999999999998,0.03
002913,002913,奥士康,2017-11-22,2017-12-01,3601,3241,30.38,22.99,1.4,10.940999999999999,0.03
603711,732711,香飘飘,2017-11-21,2017-11-30,4001,3601,14.18,22.99,1.0,5.672999999999999,0.04
603848,732848,好太太,2017-11-21,2017-12-01,4100,3690,7.89,22.98,1.2,3.235,0.04
603809,732809,豪能股份,2017-11-16,2017-11-28,2667,2400,22.39,22.99,0.9,5.971,0.03
300727,300727,润禾材料,2017-11-15,2017-11-27,2440,2196,8.34,22.98,0.95,2.035,0.02
603685,732685,晨丰科技,2017-11-15,2017-11-27,2500,2250,21.04,22.99,1.0,5.26,0.02
300726,300726,宏达电子,2017-11-10,2017-11-21,4010,3609,11.16,22.98,1.2,4.475,0.03
002911,002911,佛燃股份,2017-11-09,2017-11-22,5600,5040,13.94,22.85,1.65,7.806,0.03
603661,732661,恒林股份,2017-11-09,2017-11-21,2500,2250,56.88,22.98,1.0,14.22,0.02
002912,002912,中新赛克,2017-11-09,2017-11-21,1670,1670,30.22,22.99,1.65,5.047,0.01
601019,780019,山东出版,2017-11-08,2017-11-22,26690,24021,10.16,22.99,8.0,27.116999999999997,0.1
603365,732365,水星家纺,2017-11-08,2017-11-20,6667,6000,16.0,22.98,2.6,10.667,0.04
603970,732970,中农立华,2017-11-07,2017-11-16,3333,3000,12.47,22.98,1.3,7.275,0.03
600933,730933,爱柯迪,2017-11-07,2017-11-17,13824,12442,11.01,20.79,4.1,16.695999999999998,0.06
300723,300723,一品红,2017-11-07,2017-11-16,4000,3600,17.05,22.99,1.6,6.82,0.03
603605,732605,珀莱雅,2017-11-03,2017-11-15,5000,4500,15.34,22.99,2.0,7.67,0.03
002864,002864,盘龙药业,2017-11-02,2017-11-16,2167,1950,10.03,22.98,0.85,2.174,0.02
300721,300721,怡达股份,2017-11-02,2017-11-15,2005,1805,16.71,22.99,0.8,3.35,0.02
603076,732076,乐惠国际,2017-11-01,2017-11-13,1865,1865,19.71,22.99,1.8,3.676,0.01
603278,732278,大业股份,2017-11-01,2017-11-13,5200,4680,15.31,22.95,2.0,7.961,0.03
300725,300725,药石科技,2017-11-01,2017-11-10,1833,1833,11.32,22.99,1.8,2.075,0.01
603083,732083,剑桥科技,2017-10-31,2017-11-10,2447,2202,15.05,22.99,0.9,3.682,0.03
603916,732916,苏博特,2017-10-31,2017-11-10,7600,6840,9.02,22.98,3.0,6.855,0.04
300722,300722,新余国科,2017-10-31,2017-11-10,2000,2000,8.99,22.99,2.0,1.798,0.01
300719,300719,安达维尔,2017-10-27,2017-11-09,4200,3780,12.19,22.99,1.65,5.12,0.03
300716,300716,国立科技,2017-10-27,2017-11-09,2668,2401,12.14,22.98,1.05,3.239,0.02
300720,300720,海川智能,2017-10-26,2017-11-06,1800,1800,11.74,22.84,1.8,2.113,0.01
300717,300717,华信新材,2017-10-26,2017-11-06,1600,1600,14.24,22.99,1.6,2.278,0.01
600903,730903,贵州燃气,2017-10-26,2017-11-07,12195,10975,2.21,22.88,3.6,2.707,0.06
603856,732856,东宏股份,2017-10-25,2017-11-06,4933,4440,10.89,22.98,1.9,7.4,0.03
300718,300718,长盛轴承,2017-10-25,2017-11-06,2500,2250,18.56,22.99,1.0,4.64,0.02
603507,732507,振江股份,2017-10-25,2017-11-06,3141,2827,26.25,22.99,1.2,8.245,0.03
603659,732659,璞泰来,2017-10-24,2017-11-03,6370,5734,16.53,22.99,1.8,10.53,0.04
603937,732937,丽岛新材,2017-10-23,2017-11-02,5222,4700,9.59,22.98,2.0,5.008,0.03
603912,732912,佳力图,2017-10-20,2017-11-01,3700,3330,8.64,22.99,1.4,3.197,0.03
300711,300711,广哈通信,2017-10-20,2017-11-01,3610,3249,8.35,22.99,1.4,3.014,0.03
603289,732289,泰瑞机器,2017-10-19,2017-10-31,5100,4590,7.83,22.98,2.0,3.9930000000000003,0.03
300712,300712,永福股份,2017-10-19,2017-10-31,3502,3152,11.82,22.98,1.4,4.138999999999999,0.03
300713,300713,英可瑞,2017-10-19,2017-11-01,1328,956,40.29,21.95,0.5,4.346,0.02
002910,002910,庄园牧场,2017-10-18,2017-10-31,4684,4216,7.46,22.94,1.85,3.4939999999999998,0.03
603260,732260,合盛硅业,2017-10-18,2017-10-30,7000,6300,19.52,22.99,2.1,13.664000000000001,0.04
603722,732722,阿科力,2017-10-13,2017-10-25,2170,1953,11.24,22.98,0.8,2.439,0.02
603607,732607,京华激光,2017-10-13,2017-10-25,2278,2050,16.04,22.93,0.9,3.655,0.02
002909,002909,集泰股份,2017-10-13,2017-10-26,3000,2700,7.47,22.97,1.2,2.241,0.02
