date,code,name,weight
2018-10-30,601928,凤凰传媒,0.18
2018-10-30,601966,玲珑轮胎,0.23
2018-10-30,601969,海南矿业,0.06
2018-10-30,603000,人民网,0.13
2018-10-30,603019,中科曙光,0.64
2018-10-30,603025,大豪科技,0.04
2018-10-30,603056,德邦股份,0.07
2018-10-30,603077,和邦生物,0.3
2018-10-30,603169,兰石重装,0.06
2018-10-30,603188,ST亚邦,0.12
2018-10-30,603198,迎驾贡酒,0.11
2018-10-30,603225,新凤鸣,0.08
2018-10-30,603228,景旺电子,0.14
2018-10-30,603328,依顿电子,0.09
2018-10-30,603355,莱克电气,0.08
2018-10-30,603369,今世缘,0.24
2018-10-30,603377,东方时尚,0.08
2018-10-30,603444,吉比特,0.1
2018-10-30,603515,欧普照明,0.13
2018-10-30,603556,海兴电力,0.09
2018-10-30,603568,伟明环保,0.11
2018-10-30,603569,长久物流,0.03
2018-10-30,603589,口子窖,0.33
2018-10-30,603658,安图生物,0.14
2018-10-30,603659,璞泰来,0.09
2018-10-30,603766,隆鑫通用,0.15
2018-10-30,603806,福斯特,0.08
2018-10-30,603816,顾家家居,0.21
2018-10-30,603868,飞科电器,0.06
2018-10-30,603877,太平鸟,0.04
2018-10-30,603883,老百姓,0.16
2018-10-30,603885,吉祥航空,0.23
2018-10-30,603888,新华网,0.1
2018-10-30,603899,晨光文具,0.25
2018-10-30,000006,深振业Ａ,0.16
2018-10-30,000008,神州高铁,0.34
2018-10-30,000009,中国宝安,0.3
2018-10-30,000012,南  玻Ａ,0.16
2018-10-30,000021,深科技,0.13
2018-10-30,000025,特力A,0.05
2018-10-30,000027,深圳能源,0.22
2018-10-30,000028,国药一致,0.24
2018-10-30,000031,中粮地产,0.19
2018-10-30,000039,中集集团,0.33
2018-10-30,000049,德赛电池,0.11
2018-10-30,000061,农 产 品,0.1
2018-10-30,000062,深圳华强,0.13
2018-10-30,000066,中国长城,0.31
2018-10-30,000078,海王生物,0.16
2018-10-30,000089,深圳机场,0.27
2018-10-30,000090,天健集团,0.12
2018-10-30,000156,华数传媒,0.16
2018-10-30,000158,常山北明,0.1
2018-10-30,000400,许继电气,0.19
2018-10-30,000401,冀东水泥,0.33
2018-10-30,000418,小天鹅Ａ,0.33
2018-10-30,000426,兴业矿业,0.13
2018-10-30,000488,晨鸣纸业,0.26
2018-10-30,000501,鄂武商Ａ,0.13
2018-10-30,000513,丽珠集团,0.28
2018-10-30,000519,中兵红箭,0.16
2018-10-30,000528,柳工,0.24
2018-10-30,000536,华映科技,0.1
2018-10-30,000541,佛山照明,0.12
2018-10-30,000543,皖能电力,0.15
2018-10-30,000547,航天发展,0.25
2018-10-30,000552,靖远煤电,0.11
2018-10-30,000553,沙隆达Ａ,0.16
2018-10-30,000563,陕国投Ａ,0.21
2018-10-30,000566,海南海药,0.17
2018-10-30,000572,海马汽车,0.09
2018-10-30,000581,威孚高科,0.36
2018-10-30,000587,金洲慈航,0.1
2018-10-30,000592,平潭发展,0.12
2018-10-30,000596,古井贡酒,0.22
2018-10-30,000598,兴蓉环境,0.26
2018-10-30,000600,建投能源,0.11
2018-10-30,000612,焦作万方,0.13
2018-10-30,000636,风华高科,0.33
2018-10-30,000656,金科股份,0.54
2018-10-30,000661,长春高新,0.8
2018-10-30,000667,美好置业,0.2
2018-10-30,000681,视觉中国,0.28
2018-10-30,000685,中山公用,0.21
2018-10-30,000686,东北证券,0.32
2018-10-30,000690,宝新能源,0.38
