date,deposit_type,rate
2007-07-21,活期存款(不定期),0.81
2007-07-21,零存整取、整存零取、存本取息定期存款(三年),--
2007-07-21,零存整取、整存零取、存本取息定期存款(五年),--
2007-07-21,零存整取、整存零取、存本取息定期存款(一年),--
2007-07-21,通知存款(七天),1.71
2007-07-21,通知存款(一天),1.17
2007-07-21,协定存款(定期),1.53
2007-05-19,定活两便(定期),--
2007-05-19,定期存款整存整取(半年),2.61
2007-05-19,定期存款整存整取(二年),3.69
2007-05-19,定期存款整存整取(三个月),2.07
2007-05-19,定期存款整存整取(三年),4.41
2007-05-19,定期存款整存整取(五年),4.95
2007-05-19,定期存款整存整取(一年),3.06
2007-05-19,活期存款(不定期),0.72
2007-05-19,零存整取、整存零取、存本取息定期存款(三年),--
2007-05-19,零存整取、整存零取、存本取息定期存款(五年),--
2007-05-19,零存整取、整存零取、存本取息定期存款(一年),--
2007-05-19,通知存款(七天),1.62
2007-05-19,通知存款(一天),1.08
2007-05-19,协定存款(定期),1.44
2007-03-18,定活两便(定期),--
2007-03-18,定期存款整存整取(半年),2.43
2007-03-18,定期存款整存整取(二年),3.33
2007-03-18,定期存款整存整取(三个月),1.98
2007-03-18,定期存款整存整取(三年),3.96
2007-03-18,定期存款整存整取(五年),4.41
2007-03-18,定期存款整存整取(一年),2.79
2007-03-18,活期存款(不定期),0.72
2007-03-18,零存整取、整存零取、存本取息定期存款(三年),--
2007-03-18,零存整取、整存零取、存本取息定期存款(五年),--
2007-03-18,零存整取、整存零取、存本取息定期存款(一年),--
2007-03-18,通知存款(七天),1.62
2007-03-18,通知存款(一天),1.08
2007-03-18,协定存款(定期),1.44
2006-08-19,定活两便(定期),--
2006-08-19,定期存款整存整取(半年),2.25
2006-08-19,定期存款整存整取(二年),3.06
2006-08-19,定期存款整存整取(三个月),1.80
2006-08-19,定期存款整存整取(三年),3.69
2006-08-19,定期存款整存整取(五年),4.14
2006-08-19,定期存款整存整取(一年),2.52
2006-08-19,活期存款(不定期),0.72
2006-08-19,零存整取、整存零取、存本取息定期存款(三年),--
2006-08-19,零存整取、整存零取、存本取息定期存款(五年),--
2006-08-19,零存整取、整存零取、存本取息定期存款(一年),--
2006-08-19,通知存款(七天),1.62
2006-08-19,通知存款(一天),1.08
2006-08-19,协定存款(定期),1.44
2004-10-29,定活两便(定期),--
2004-10-29,定期存款整存整取(半年),2.07
2004-10-29,定期存款整存整取(二年),2.70
2004-10-29,定期存款整存整取(三个月),1.71
2004-10-29,定期存款整存整取(三年),3.24
2004-10-29,定期存款整存整取(五年),3.60
2004-10-29,定期存款整存整取(一年),2.25
2004-10-29,活期存款(不定期),0.72
2004-10-29,零存整取、整存零取、存本取息定期存款(三年),--
2004-10-29,零存整取、整存零取、存本取息定期存款(五年),--
2004-10-29,零存整取、整存零取、存本取息定期存款(一年),--
2004-10-29,通知存款(七天),1.62
2004-10-29,通知存款(一天),1.08
2004-10-29,协定存款(定期),1.44
2002-02-21,定活两便(定期),--
2002-02-21,定期存款整存整取(半年),1.89
2002-02-21,定期存款整存整取(二年),2.25
2002-02-21,定期存款整存整取(三个月),1.71
2002-02-21,定期存款整存整取(三年),2.52
2002-02-21,定期存款整存整取(五年),2.79
2002-02-21,定期存款整存整取(一年),1.98
2002-02-21,活期存款(不定期),0.72
2002-02-21,零存整取、整存零取、存本取息定期存款(三年),--
2002-02-21,零存整取、整存零取、存本取息定期存款(五年),--
2002-02-21,零存整取、整存零取、存本取息定期存款(一年),--
2002-02-21,通知存款(七天),1.62
2002-02-21,通知存款(一天),1.08
2002-02-21,协定存款(定期),1.44
1999-06-10,定活两便(定期),--
1999-06-10,定期存款整存整取(半年),2.16
1999-06-10,定期存款整存整取(二年),2.43
1999-06-10,定期存款整存整取(三个月),1.98
1999-06-10,定期存款整存整取(三年),2.70
1999-06-10,定期存款整存整取(五年),2.88
1999-06-10,定期存款整存整取(一年),2.25
1999-06-10,活期存款(不定期),0.99
1999-06-10,零存整取、整存零取、存本取息定期存款(三年),--
1999-06-10,零存整取、整存零取、存本取息定期存款(五年),--
1999-06-10,零存整取、整存零取、存本取息定期存款(一年),--
1999-06-10,通知存款(七天),1.89
1999-06-10,通知存款(一天),1.35
1999-06-10,协定存款(定期),1.71
1998-12-07,定活两便(定期),--
1998-12-07,定期存款整存整取(半年),3.30
1998-12-07,定期存款整存整取(二年),3.96
1998-12-07,定期存款整存整取(三个月),2.79
1998-12-07,定期存款整存整取(三年),4.14
1998-12-07,定期存款整存整取(五年),4.50
1998-12-07,定期存款整存整取(一年),3.78
1998-12-07,活期存款(不定期),1.44
1998-12-07,零存整取、整存零取、存本取息定期存款(三年),--
1998-12-07,零存整取、整存零取、存本取息定期存款(五年),--
1998-12-07,零存整取、整存零取、存本取息定期存款(一年),--
1998-12-07,通知存款(七天),2.34
1998-12-07,通知存款(一天),1.80
1998-12-07,协定存款(定期),2.16
1998-07-01,定活两便(定期),--
1998-07-01,定期存款整存整取(半年),3.96
1998-07-01,定期存款整存整取(二年),4.86
1998-07-01,定期存款整存整取(三个月),2.79
1998-07-01,定期存款整存整取(三年),4.95
1998-07-01,定期存款整存整取(五年),5.22
1998-07-01,定期存款整存整取(一年),4.77
1998-07-01,活期存款(不定期),1.44
1998-07-01,零存整取、整存零取、存本取息定期存款(三年),--
1998-07-01,零存整取、整存零取、存本取息定期存款(五年),--
1998-07-01,零存整取、整存零取、存本取息定期存款(一年),--
1998-07-01,通知存款(七天),--
1998-07-01,通知存款(一天),--
1998-07-01,协定存款(定期),--
1998-03-25,定活两便(定期),--
1998-03-25,定期存款整存整取(半年),4.14
1998-03-25,定期存款整存整取(二年),5.58
1998-03-25,定期存款整存整取(三个月),2.88
1998-03-25,定期存款整存整取(三年),6.21
1998-03-25,定期存款整存整取(五年),6.66
1998-03-25,定期存款整存整取(一年),5.22
1998-03-25,活期存款(不定期),1.71
1998-03-25,零存整取、整存零取、存本取息定期存款(三年),--
1998-03-25,零存整取、整存零取、存本取息定期存款(五年),--
1998-03-25,零存整取、整存零取、存本取息定期存款(一年),--
1998-03-25,通知存款(七天),--
1998-03-25,通知存款(一天),--
1998-03-25,协定存款(定期),--
1997-10-23,定活两便(定期),--
1997-10-23,定期存款整存整取(半年),4.14
1997-10-23,定期存款整存整取(二年),5.94
1997-10-23,定期存款整存整取(三个月),2.88
1997-10-23,定期存款整存整取(三年),6.21
1997-10-23,定期存款整存整取(五年),6.66
1997-10-23,定期存款整存整取(一年),5.67
1997-10-23,活期存款(不定期),1.71
1997-10-23,零存整取、整存零取、存本取息定期存款(三年),--
1997-10-23,零存整取、整存零取、存本取息定期存款(五年),--
1997-10-23,零存整取、整存零取、存本取息定期存款(一年),--
1997-10-23,通知存款(七天),--
1997-10-23,通知存款(一天),--
1997-10-23,协定存款(定期),--
1996-08-23,定活两便(定期),--
1996-08-23,定期存款整存整取(半年),5.40
1996-08-23,定期存款整存整取(二年),7.92
1996-08-23,定期存款整存整取(三个月),3.33
1996-08-23,定期存款整存整取(三年),8.28
1996-08-23,定期存款整存整取(五年),9.00
1996-08-23,定期存款整存整取(一年),7.47
1996-08-23,活期存款(不定期),1.98
1996-08-23,零存整取、整存零取、存本取息定期存款(三年),--
1996-08-23,零存整取、整存零取、存本取息定期存款(五年),--
1996-08-23,零存整取、整存零取、存本取息定期存款(一年),--
1996-08-23,通知存款(七天),--
1996-08-23,通知存款(一天),--
1996-08-23,协定存款(定期),--
1996-05-01,定活两便(定期),--
1996-05-01,定期存款整存整取(半年),7.20
1996-05-01,定期存款整存整取(二年),9.90
1996-05-01,定期存款整存整取(三个月),4.86
1996-05-01,定期存款整存整取(三年),10.80
1996-05-01,定期存款整存整取(五年),12.06
1996-05-01,定期存款整存整取(一年),9.18
1996-05-01,活期存款(不定期),2.97
