date,code,name,weight
2018-10-30,600705,中航资本,0.22
2018-10-30,600739,辽宁成大,0.14
2018-10-30,600741,华域汽车,0.29
2018-10-30,600795,国电电力,0.3
2018-10-30,600804,鹏博士,0.1
2018-10-30,600809,山西汾酒,0.09
2018-10-30,600816,安信信托,0.12
2018-10-30,600820,隧道股份,0.11
2018-10-30,600837,海通证券,0.81
2018-10-30,600867,通化东宝,0.19
2018-10-30,600886,国投电力,0.3
2018-10-30,600887,伊利股份,1.37
2018-10-30,600893,航发动力,0.22
2018-10-30,600900,长江电力,1.09
2018-10-30,600909,华安证券,0.1
2018-10-30,600919,江苏银行,0.47
2018-10-30,600926,杭州银行,0.17
2018-10-30,600958,东方证券,0.36
2018-10-30,600959,江苏有线,0.07
2018-10-30,600977,中国电影,0.09
2018-10-30,600999,招商证券,0.32
2018-10-30,601006,大秦铁路,0.5
2018-10-30,601009,南京银行,0.48
2018-10-30,601012,隆基股份,0.27
2018-10-30,601018,宁波港,0.16
2018-10-30,601021,春秋航空,0.09
2018-10-30,601088,中国神华,0.41
2018-10-30,601099,太平洋,0.21
2018-10-30,601108,财通证券,0.03
2018-10-30,601111,中国国航,0.23
2018-10-30,601117,中国化学,0.12
2018-10-30,601155,新城控股,0.24
2018-10-30,601166,兴业银行,2.11
2018-10-30,601169,北京银行,0.97
2018-10-30,601186,中国铁建,0.5
2018-10-30,601198,东兴证券,0.15
2018-10-30,601211,国泰君安,0.61
2018-10-30,601212,白银有色,0.03
2018-10-30,601216,君正集团,0.1
2018-10-30,601225,陕西煤业,0.36
2018-10-30,601228,广州港,0.08
2018-10-30,601229,上海银行,0.71
2018-10-30,601238,广汽集团,0.07
2018-10-30,601288,农业银行,1.56
2018-10-30,601318,中国平安,7.19
2018-10-30,601328,交通银行,1.74
2018-10-30,601333,广深铁路,0.11
2018-10-30,601336,新华保险,0.41
2018-10-30,601360,三六零,0.09
2018-10-30,601377,兴业证券,0.24
2018-10-30,601390,中国中铁,0.42
2018-10-30,601398,工商银行,1.28
2018-10-30,601555,东吴证券,0.17
2018-10-30,601600,中国铝业,0.26
2018-10-30,601601,中国太保,1.12
2018-10-30,601607,上海医药,0.24
2018-10-30,601611,中国核建,0.05
2018-10-30,601618,中国中冶,0.18
2018-10-30,601628,中国人寿,0.38
2018-10-30,601633,长城汽车,0.08
2018-10-30,601668,中国建筑,1.17
2018-10-30,601669,中国电建,0.22
2018-10-30,601688,华泰证券,0.57
2018-10-30,601718,际华集团,0.06
2018-10-30,601727,上海电气,0.2
2018-10-30,601766,中国中车,0.63
2018-10-30,601788,光大证券,0.2
2018-10-30,601800,中国交建,0.19
2018-10-30,601808,中海油服,0.06
2018-10-30,601818,光大银行,0.68
2018-10-30,601828,美凯龙,0.04
2018-10-30,601838,成都银行,0.04
2018-10-30,601857,中国石油,0.57
2018-10-30,601866,中远海发,0.07
2018-10-30,601877,正泰电器,0.2
2018-10-30,601878,浙商证券,0.03
