code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
002347,泰尔股份,1.1176,241.5891,0.638,423.1975,0.3545,761.6361
300469,信息发展,1.0752,251.1161,0.6353,424.9961,0.4051,666.5021
300412,迦南科技,1.7349,155.6286,0.6345,425.5319,0.3419,789.7046
300455,康拓红外,0.6403,421.6773,0.6342,425.7332,0.2452,1101.1419
000663,永安林业,1.1029,244.8091,0.6328,426.6751,0.3138,860.4207
002173,创新医疗,3.1057,86.9369,0.6278,430.0733,0.3354,805.0089
600641,万业企业,84.131,3.2093,0.6248,432.1383,0.3453,781.9288
603088,宁波精达,3.2989,81.8455,0.6238,432.83099999999996,0.5161,523.1544
300536,农尚环境,1.3083,206.3747,0.6233,433.1782,0.3327,811.5419
002777,久远银海,3.1291,86.2868,0.622,434.0836,0.3267,826.4463
300516,久之洋,1.8230000000000002,148.1075,0.6211,434.7126,0.2873,939.7842
300354,东华测试,1.1785,229.1048,0.6206,435.0628,0.3393,795.7560000000001
300440,运达科技,0.5029,536.8861,0.6184,436.6106,0.1766,1528.8788
300210,森远股份,0.7246,372.6194,0.6174,437.3178,0.2433,1109.7411
600240,华业资本,12.1268,22.2647,0.6168,437.7432,0.8214,328.7071
300336,新文化,0.6683,404.0102,0.6161,438.2405,0.1934,1396.0703
600189,吉林森工,10.0709,26.8099,0.6158,438.454,0.3996,675.6757
600867,通化东宝,3.6599,73.7725,0.6157,438.5253,0.8658,311.8503
600620,天宸股份,113.661,2.3755,0.6156,438.5965,0.0638,4231.9749
000561,烽火电子,0.9035,298.8379,0.6152,438.8817,0.3203,842.9597
002338,奥普光电,1.6369,164.9459,0.6145,439.3816,0.3768,716.5605
002829,星网宇达,0.7981,338.3035,0.6137,439.9544,0.2841,950.3696
002691,冀凯股份,0.9685,278.7816,0.6124,440.8883,0.3881,695.697
000882,华联股份,,,0.6109,441.9709,0.2197,1228.9486
000504,南华生物,5.7211,47.1937,0.6075,444.4444,0.2683,1006.3362
600136,当代明诚,1.0031,269.1656,0.6021,448.4305,0.2838,951.3742
600862,中航高科,1.8955,142.4426,0.6015,448.8778,0.4159,649.1945
600388,龙净环保,2.2698,118.9532,0.6005,449.6253,0.41100000000000003,656.9343
300300,汉鼎宇佑,1.4407,187.4089,0.5938,454.6986,0.25,1080.0
600354,敦煌种业,2.0113,134.2415,0.5912,456.6982,0.2123,1271.7852
002337,赛象科技,0.703,384.0683,0.589,458.4041,0.2171,1243.6665
601989,中国重工,2.9818,90.5493,0.588,459.1837,0.2077,1299.9519
002270,华明装备,0.5757,468.9943,0.5870000000000001,459.9659,0.2106,1282.0513
002344,海宁皮城,65.4236,4.127,0.5867,460.2011,0.4122,655.0218
603690,至纯科技,0.9208,293.2233,0.5861,460.6722,0.3598,750.4169
000972,ST中基,4.4646,60.4757,0.586,460.7509,0.4387,615.4548
002374,丽鹏股份,1.3604,198.47099999999998,0.5853,461.3019,0.3367,801.9008
300474,景嘉微,1.0514,256.8005,0.5846,461.8543,0.3418,789.9356
002564,天沃科技,1.0518,256.7028,0.5826,463.4398,0.2883,936.5245
600155,华创阳安,0.5668,476.3585,0.5823,463.6785,0.0036,75000.0
002161,远望谷,1.426,189.3408,0.5797,465.7582,0.3385,797.6366
603718,海利生物,3.9896,67.676,0.5786,466.6436,0.2565,1052.6316
300251,光线传媒,2.9018,93.0457,0.5772,467.7755,0.2766,976.1388
000005,世纪星源,2.2654,119.1843,0.5764,468.4247,0.3254,829.748
002143,印纪传媒,0.1593,1694.9153,0.5763,468.506,0.0784,3443.8776
300509,新美星,2.4584,109.8275,0.5737,470.6292,0.4162,648.7266
600724,宁波富达,18.2016,14.8339,0.5641,478.6385,0.2871,940.4389
300352,北信源,0.3833,704.4091,0.5635,479.1482,0.1505,1794.0199
300024,机器人,1.7088,158.0056,0.5625,480.0,0.3182,848.5229
600611,大众交通,18.2555,14.7901,0.5612,481.1119,0.3554,759.7074
000011,深物业A,17.8474,15.1283,0.5589,483.0918,0.2822,956.7682
002296,辉煌科技,0.5002,539.7841,0.5566,485.088,0.1609,1678.0609
002880,卫光生物,9.0018,29.994,0.5562,485.4369,0.5301,509.3379
600811,东方集团,88.2891,3.0581,0.5551,486.3988,0.2705,998.1516
300462,华铭智能,0.9805,275.3697,0.5543,487.1008,0.2625,1028.5714
000939,*ST凯迪,0.6351,425.1299,0.5539999999999999,487.3646,0.158,1708.8608
002231,奥维通信,0.5035,536.2463,0.5501,490.8199,0.2,1350.0
600807,*ST天业,0.2952,914.6341,0.5479,492.7907,0.129,2093.0233
002452,长高集团,0.9839,274.4181,0.5459,494.5961,0.2828,954.7383
600543,莫高股份,5.2072,51.8513,0.5449,495.5038,0.2938,918.9925
000869,张裕A,16.0641,16.8077,0.5445,495.8678,0.8123,332.3895
300084,海默科技,0.5501,490.8199,0.5442,496.1411,0.2131,1267.0108
002227,奥特迅,0.8064,334.8214,0.5442,496.1411,0.3064,881.201
300044,赛为智能,1.1805,228.7166,0.5433,496.963,0.3488,774.0826
600560,金自天正,1.778,151.856,0.5426,497.6041,0.3169,852.0038
603169,兰石重装,1.1002,245.4099,0.5424,497.7876,0.2764,976.8452
300605,恒锋信息,2.5934,104.1104,0.5419,498.2469,0.4592,587.9791
002070,*ST众和,0.4248,635.5932,0.5412,498.8914,0.2128,1268.797
000831,五矿稀土,2.2618,119.3739,0.5401,499.9074,0.3432,786.7133
600836,界龙实业,4.6018,58.6727,0.5394,500.5562,0.4787,564.0276
600614,鹏起科技,4.453,60.6333,0.5394,500.5562,0.3649,739.9287
600038,中直股份,6.102,44.2478,0.5348,504.8616,0.42700000000000005,632.3185
000506,中润资源,40.2803,6.702999999999999,0.531,508.4746,0.2086,1294.3432
600243,青海华鼎,0.9213,293.0641,0.5295,509.915,0.2823,956.4293
000410,沈阳机床,0.8529,316.567,0.5204,518.8317,0.2538,1063.8298
300592,华凯创意,0.8342,323.6634,0.5199,519.3306,0.3193,845.5997
002431,棕榈股份,1.7058,158.2835,0.5198,519.4306,0.3434,786.2551
600107,美尔雅,5.0394,53.5778,0.5173,521.9408,0.4627,583.5314
002371,北方华创,2.3911,112.9187,0.5103,529.1005,0.4066,664.0433
300503,昊志机电,1.1781,229.1826,0.5082,531.2869,0.4159,649.1945
300711,广哈通信,0.8482,318.3212,0.5073,532.2295,0.2236,1207.5134
603369,今世缘,125.3639,2.1537,0.5059,533.7023,0.6049,446.3548
300004,南风股份,0.7581,356.1535,0.5037,536.0334,0.3024,892.8571
600252,中恒集团,12.7166,21.2321,0.5003,539.6762,0.6681,404.1311
000159,国际实业,5.1084,52.8541,0.5003,539.6762,0.2799,964.6302
300142,沃森生物,1.6126,167.4315,0.4997,540.3242,0.2048,1318.3594
002433,太安堂,3.7655,71.7036,0.4984,541.7335,0.5207,518.5327
603717,天域生态,1.5006,179.928,0.4893,551.8087,0.3541,762.4965
002310,东方园林,1.1061,244.1009,0.4872,554.1872,0.3824,706.0669
603389,亚振家居,9.1605,29.4744,0.4847,557.0456,0.4428,609.7561
600280,中央商场,457.3077,0.5904,0.4828,559.2378,0.4829,559.122
300512,中亚股份,4.3561,61.982,0.4821,560.0498,0.32799999999999996,823.1707
600238,*ST椰岛,6.9306,38.9577,0.4774,565.5635,0.2776,972.6225
300696,爱乐达,0.8645,312.3193,0.4763,566.8696,0.157,1719.7452
